test;jaar;ring;vjaar;vring;mjaar;mring;geslacht
;2020;6183972;2019;6035032;2019;6035152;-
;2020;6183973;2010;6357819;2012;6233363;-
;2020;6183974;2017;6050725;2014;6070492;-
;2020;6183975;2017;6050725;2014;6070492;-
;2020;6183976;2016;6021406;2014;6070491;-
;2020;6183977;2016;6021406;2014;6070491;-
;2020;6183978;2019;6240704;2015;6285324;-
;2020;6183979;2015;6047583;2014;6070967;-
;2020;6183980;2015;6047583;2014;6070967;-
;2020;6183981;2015;6048785;2011;6115319;-
;2020;6183982;2015;6048785;2011;6115319;-
;2020;6183983;2015;6285681;2014;6070968;-
;2020;6183984;2015;6285681;2014;6070968;-
;2020;6183985;2017;6053632;2019;6240705;-
;2020;6183986;2017;6053632;2019;6240705;-
;2020;6183988;2014;6070552;2014;6070601;-
;2020;6183989;2015;6047589;2018;6137068;-
;2020;6183990;2015;6047589;2018;6137068;-
;2020;6183991;2019;6240704;2015;6285324;-
;2020;6183992;2019;6240704;2015;6285324;-
;2020;6183993;2019;6035392;2017;6050875;-
;2020;6183994;2015;6046462;2015;6046474;-
;2020;6183995;2015;6046462;2015;6046474;-
;2020;6183996;2017;6050725;2014;6070492;-
;2020;6183997;2017;6050725;2014;6070492;-
;2020;6183998;2019;6035032;2019;6035152;-
;2020;6183999;2019;6035032;2019;6035152;-
;2020;6184000;2017;6053507;2015;6285666;-
;2020;6223259;2017;6053501;2013;6306231;-
;2020;6223260;2017;6053501;2013;6306231;-
